clause_area,source_document,current_reading,confidence,notes_or_gap
"Asset scope","Exhibit A.pdf plus current draft assignment package","Broad transfer of rights in the Ali film plus related material; current internal pack expands this to the film, raw footage, contextual interview material, supplementary media, and associated archive.","medium","Exact inventory is still not canonical and OCR on Exhibit A is weak."
"Term","Exhibit A.pdf","Intended to be unrestricted in time to the extent legally transferable.","medium","Needs clean visual clause verification from the signed agreement."
"Territory","Exhibit A.pdf","Intended to be unrestricted worldwide to the extent legally transferable.","medium","Needs clean visual clause verification from the signed agreement."
"Exclusivity","Exhibit A.pdf","Exclusive sale/transfer is implied by the purchase structure and sole-holder warranty rather than separately evidenced in a clean extracted clause.","medium-low","Should be confirmed against the signed agreement."
"Use-case limitation","Chain of Title.pdf","Current and downstream use is framed as editorial, cultural, and cinematic use tied to the Zurich event context.","medium","Useful safeguard language, but presently sourced from the summary sheet rather than the underlying original contracts."
"Merchandising carve-out","Chain of Title.pdf","Merchandising rights are described as excluded from current and downstream transactions even if present in the original 1971 grant.","medium","Should be reflected consistently in any final transfer or license package."
"Payment structure","Exhibit A.pdf","CHF 200,000 total price in four instalments of CHF 50,000.","high","Consistent across paraphrase pack and legal memos."
"Transfer trigger","Exhibit A.pdf plus Exhibit B.pdf","Rights transfer on payment of the first CHF 50,000; Exhibit B shows a CHF 50,000 payment on 2026-02-06.","high","Seller acceptance of the payment as contractual trigger is not separately evidenced."
"Seller upside or contingent economics","Exhibit A.pdf","Seller reportedly receives 10% of net profit above CHF 1 million.","medium","Currently supported by paraphrase rather than clean clause extraction."
"Warranties","Exhibit A.pdf","Seller warrants sole lawful ownership, authority to dispose, and absence of conflicting third-party rights.","high","This is the strongest current chain-of-title protection in the file set."
"Transparency or disclosure access","Exhibit A.pdf","Buyer gets access to existing usage agreements or licenses and to recordings in the seller's possession for copying.","high","Useful for diligence but not yet evidenced by delivery receipts."
"Governing law and forum","Exhibit A.pdf","Swiss law; Commercial Court of the Canton of Zurich.","high","Repeated consistently in the legal memo."
"Legal effect of transfer","LEGAL_MEMO_SIGNED.pdf","Swiss-law memo concludes transfer took effect on 2026-02-06 once the first instalment was paid.","high","Memo is expressly limited to Exhibits A-C."
"Assignment of warranty claims","LEGAL_MEMO_SIGNED.pdf","Warranty claims are in principle assignable under Swiss CO Art. 164 if documented in writing under Art. 165.","high","Critical for any downstream buyer needing direct recourse."
"Onward sale or licensing","LEGAL_MEMO_SIGNED.pdf","Buyer may sell, assign, or license onward to the extent rights are transferable and no restriction exists in the reviewed exhibits.","high","Conclusion is subject to no undisclosed side letters or hidden restrictions."
"SPV share-sale route","LEGAL_MEMO_SIGNED.pdf plus signed assignment package evidence","Rights and warranty claims can be contributed into Apollon and then indirectly transferred by share sale without re-assigning the rights at closing.","high","The internal assignment step is now materially stronger, but the full signed packet and schedules still need verification."
"Assumptions and limitations","LEGAL_MEMO_SIGNED.pdf","Memo assumes the agreement remains in force, payment was not reversed, and no undisclosed amendments or assignment prohibitions exist.","high","These assumptions must be tested with documents, not left implicit."
"Chain-of-title risk rating","Due Diligence Memorandum (Swiss Law)","Incomplete chain-of-title documentation is high risk; missing licensor or performer rights are medium risk.","high","This remains the clearest current risk statement in the legal pack."
"Required cure for payment or buyer mismatch","Due Diligence Memorandum (Swiss Law) plus signed assignment package evidence","Written ratification or assignment from Walter into Apollon is recommended to cure Apollon-funded payment with Walter as named buyer.","high","The newly confirmed signed assignment package narrows this issue materially, but the complete executed packet and chronology support still need verification."
"Signed internal assignment package evidence","Assignment of Film and Media Rights.docx plus user-confirmed signature page","Package appears signed on 2026-03-13 by Alexander Walter as assignor, on behalf of Apollon, and as sole shareholder, confirming assignment and contribution mechanics into Apollon.","medium-high","Execution completeness, schedules, and immutable packet storage still need verification."
"Professional assignment package","Professional_Assignment_and_Contribution_Package.docx","Draft package combines assignment, contribution, corporate resolution, transfer-trigger confirmation, and optional escrow language.","high for draft content","Still draft only and should be reduced to one final operative version."
"Internal assignment into Apollon","Uebertragungsvertrag_Rechte_Film_Lizenz.pdf","Draft instrument irrevocably assigning and contributing the assets from Walter to Apollon with broad exploitation, sublicensing, and commercialization rights.","high for draft content","Unsigned draft only; not current proof of completed transfer."
"Draft indemnity to Apollon","Assignment of Film and Media Rights.docx plus user-confirmed signature page","Assignor indemnifies Apollon for material breach of representations and warranties.","medium-high","The clause appears materially stronger because the package appears signed, but the full executed packet still needs verification."
"Corporate approval step","Assignment of Film and Media Rights.docx plus user-confirmed signature page","Package includes shareholder-resolution style approval and appears signed in sole-shareholder capacity on 2026-03-13.","medium-high","Later ownership chart suggests this must be reconciled through dated corporate extracts or later ratification evidence."
"Temporary payment authority","payment_handling_representation_agreement_apollon_pfortmueller.docx","Counsel may execute instructed payments to Deloitte or other approved providers only upon written Apollon instruction.","high","Useful for process control, not title."
"Term or termination of payment mandate","payment_handling_representation_agreement_apollon_pfortmueller.docx","Runs until banking structure is operational, terminated, or 2026-12-31.","high","Execution not yet evidenced."
"Counsel success fee","Rechtsberatungsvertrag.pdf","Counsel earns 3% of net transaction proceeds across share, asset, licensing, SPV, and economically equivalent structures.","high","Relevant to transaction mechanics and leakage, not chain of title."
"Photo archive support","Vertrag Dominik Bachmann Signed.pdf plus internal assignment drafts","Photo archive is treated as part of the package; prior controlled review indicates project-use license while draft internal assignment treats the archive as part of the assigned assets.","medium","Needs exact clause extraction and integration into the main control pack."
