priority,item,why_it_matters,likely_holder,closes_question
"must-have now","Clean readable final signed purchase agreement set (including signature pages and all schedules/exhibits)","This is the core operative transfer instrument and the current OCR is too weak for clause-perfect reliance.","Alexander Walter; Bernd Grohe; legal counsel","Confirms exact scope, trigger, warranty, and any hidden restrictions."
"must-have now","Full signed Walter-to-Apollon packet, including all pages, schedules, inventory, attachments, and signature page scan stored in the legal-anchor pack","The internal transfer step now appears signed, but the executed packet is not yet assembled in one immutable room-ready set.","Alexander Walter; Apollon counsel","Closes whether Apollon can evidence the internal transfer cleanly to counsel or reviewers."
"must-have now","Dated corporate extract or ratification evidence supporting Walter's authority / sole-shareholder status as of 2026-03-13 and explaining the later 90/10 cap table","The signature page uses sole-shareholder authority language while a later ownership chart shows 90/10 ownership.","Apollon Holding GmbH; commercial register records; counsel","Closes company-authority and chronology risk."
"must-have now","Underlying predecessor chain-of-title documents and original filming permissions or releases","A chain-of-title summary now exists, but the underlying source documents are still missing from the operative pack.","Bernd Grohe; original producers; archive holders; counsel","Closes provenance and underlying-title risk."
"must-have now","Formal correction memo resolving agreement or exhibit date issues and confirming all buyer-name variants normalize to Alexander Walter","The name issue is now normalized in analysis, but one formal cleanup note would make the file set cleaner for outside review.","Dr. Herbert Pfortmueller or counsel; Alexander Walter","Closes documentary coherence risk."
"must-have now","Status of later instalments, deferred amounts, holdback, or escrow","The first trigger payment is evidenced, but the remaining economics are not fully documented in one place.","Alexander Walter; Bernd Grohe; bank; counsel","Closes payment-completion and residual seller leverage risk."
"important next","Executed or cleanly extracted Dominik Bachmann archive license plus inventory cross-reference","The photo archive is inside the marketed package but not yet integrated into the canonical control memo at clause level.","Dominik Bachmann; Alexander Walter; counsel","Closes photo-archive control and sublicensing support."
"important next","Seller disclosure schedule covering prior licenses, liens, encumbrances, and third-party claims","The title warranty is strong, but a disclosure schedule would make diligence materially cleaner.","Bernd Grohe; seller counsel","Closes hidden-encumbrance risk."
"important next","Any side letters, amendments, or waiver letters relating to Exhibit A","The legal memo assumes none exist; that assumption should be tested directly.","Alexander Walter; Bernd Grohe; counsel","Closes hidden amendment risk."
"important next","Underlying KYC or corporate extract pack for Apollon and current shareholders","The ownership chart is helpful but should be backed by formal extract material and dates.","Apollon Holding GmbH; commercial register records","Closes beneficial ownership and authority support."
"important next","Executed bank authorization or final POA if counsel payment authority will be relied upon","Current POA materials are still at draft level.","Alexander Walter; counsel; bank","Closes payment-control execution readiness."
"nice-to-have","Copyright or registry search results and litigation-check memo","Adds defensibility and helps surface hidden claims earlier.","Counsel; external search providers","Improves diligence comfort without changing the core transfer logic."
"nice-to-have","Archive provenance or custody log and delivery receipts for masters and raw footage","Bridges legal title with physical or digital possession and deliverables.","Alexander Walter; Bernd Grohe; archive custodian","Improves asset-control proof."
"nice-to-have","Claims-handling protocol for preserving seller warranty recourse","Would make enforcement and third-party notice mechanics easier if a dispute arises.","Counsel","Improves litigation hygiene."
